RESUMO FINANCEIRO 
Extrato de Cartão de Crédito
BRADESCO CARTÕES

Período: 01/12/2024 a 31/12/2024

Data;Histórico;Valor(US$);Valor(R$);
01/12/2024;COMPRA MERCADO ABC;0,00;125,50;
03/12/2024;UBER TRIP 12345;0,00;45,80;
05/12/2024;RESTAURANTE XYZ;0,00;89,90;
10/12/2024;AMAZON COMPRA ONLINE;25,00;150,00;
15/12/2024;POSTO SHELL;0,00;220,75;
20/12/2024;FARMACIA DROGASIL;0,00;67,30;
25/12/2024;SUPERMERCADO EXTRA;0,00;340,25;
28/12/2024;CINEMA SHOPPING;0,00;58,00;

TOTAL DO PERÍODO: R$ 1.097,50

Informações adicionais:
- Próximo vencimento: 15/01/2025
- Limite disponível: R$ 8.902,50
